model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices,full_responses
01-ai/yi-large,4,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
01-ai/yi-large,5,17,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
01-ai/yi-large,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
01-ai/yi-large,7,11,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
01-ai/yi-large,8,18,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
01-ai/yi-large,9,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
01-ai/yi-large,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-4-maverick,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-maverick,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-4-maverick,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
meta-llama/llama-4-maverick,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-maverick,5,17,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-maverick,6,9,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-maverick,7,11,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-maverick,8,18,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-maverick,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-maverick,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
anthropic/claude-3.5-haiku,1,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
anthropic/claude-3.5-haiku,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
anthropic/claude-3.5-haiku,4,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,5,17,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,6,9,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,7,11,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,8,18,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,9,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
anthropic/claude-3.5-haiku,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4o-mini,1,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4o-mini,3,4,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,4,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,5,17,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,6,9,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,7,11,2,False,0.2,"PUMP, PUMP, CASH OUT",Pump | Pump | Cash Out
openai/gpt-4o-mini,8,18,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,9,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-mini,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
google/gemini-2.0-flash-lite-001,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
google/gemini-2.0-flash-lite-001,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
google/gemini-2.0-flash-lite-001,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
google/gemini-2.0-flash-lite-001,4,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-lite-001,5,17,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-lite-001,6,9,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-lite-001,7,11,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-lite-001,8,18,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-lite-001,9,6,2,False,0.2,"PUMP, PUMP, CASH OUT",Pump | Pump | Cash Out
google/gemini-2.0-flash-lite-001,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-3.1-405b-instruct,1,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.1-405b-instruct,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump. | Pump. | Pump.
meta-llama/llama-3.1-405b-instruct,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
meta-llama/llama-3.1-405b-instruct,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-3.1-405b-instruct,5,17,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.1-405b-instruct,6,9,7,False,0.7,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.1-405b-instruct,7,11,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.1-405b-instruct,8,18,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump. | Pump. | Pump. | Pump. | Pump. | Cash Out.
meta-llama/llama-3.1-405b-instruct,9,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.1-405b-instruct,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
google/gemini-2.0-flash-001,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
google/gemini-2.0-flash-001,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,5,17,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,7,11,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,8,18,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
google/gemini-2.0-flash-001,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
google/gemini-2.0-flash-001,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openrouter/quasar-alpha,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openrouter/quasar-alpha,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openrouter/quasar-alpha,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
openrouter/quasar-alpha,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openrouter/quasar-alpha,5,17,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openrouter/quasar-alpha,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openrouter/quasar-alpha,7,11,11,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openrouter/quasar-alpha,8,18,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openrouter/quasar-alpha,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openrouter/quasar-alpha,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-4-scout,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-scout,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-4-scout,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
meta-llama/llama-4-scout,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-scout,5,17,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-scout,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-scout,7,11,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-scout,8,18,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-4-scout,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-4-scout,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4.5-preview,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4.5-preview,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4.5-preview,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
openai/gpt-4.5-preview,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4.5-preview,5,17,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4.5-preview,6,9,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4.5-preview,7,11,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4.5-preview,8,18,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4.5-preview,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4.5-preview,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,5,17,11,False,1.1,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.3-70b-instruct,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,7,11,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.3-70b-instruct,8,18,11,False,1.1,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
meta-llama/llama-3.3-70b-instruct,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
meta-llama/llama-3.3-70b-instruct,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
qwen/qwen-plus,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
qwen/qwen-plus,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
qwen/qwen-plus,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
qwen/qwen-plus,4,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
qwen/qwen-plus,5,17,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
qwen/qwen-plus,6,9,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
qwen/qwen-plus,7,11,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
qwen/qwen-plus,8,18,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
qwen/qwen-plus,9,6,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Cash Out
qwen/qwen-plus,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
deepseek/deepseek-chat-v3-0324,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
deepseek/deepseek-chat-v3-0324,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
deepseek/deepseek-chat-v3-0324,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
deepseek/deepseek-chat-v3-0324,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
deepseek/deepseek-chat-v3-0324,5,17,6,False,0.6,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat-v3-0324,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
deepseek/deepseek-chat-v3-0324,7,11,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat-v3-0324,8,18,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat-v3-0324,9,6,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Cash Out
deepseek/deepseek-chat-v3-0324,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4o-2024-11-20,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
openai/gpt-4o-2024-11-20,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,4,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,5,17,14,False,1.4,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
openai/gpt-4o-2024-11-20,6,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,7,11,11,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,8,18,18,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,9,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
openai/gpt-4o-2024-11-20,10,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
anthropic/claude-3.5-sonnet,1,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
anthropic/claude-3.5-sonnet,2,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
anthropic/claude-3.5-sonnet,3,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
